No,kelas,kategori,target_bulan,materi
267,SMA 1,Adab/ Tatakrama,Maret,Terhadap Tetangga
268,SMA 1,Adab/ Tatakrama,November,Terhadap Ulil Amri
269,SMA 1,Materi Dasar Keagamaan,Desember,Thaharah dan Sholat
270,SMA 1,Adab/ Tatakrama,Januari,Tidur
271,SMA 1,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
272,SMA 2,Materi Dasar Keagamaan,Juni,Aurat
273,SMA 2,Adab/ Tatakrama,September,Bergaul dengan teman
274,SMA 2,Adab/ Tatakrama,Januari,Berpakaian
275,SMA 2,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
276,SMA 2,Mandiri,Agustus,Dalam Keluarga
277,SMA 2,Mandiri,Februari,Dalam Keluarga
278,SMA 2,Hafalan Surat Al Qur'an,Mei - Juni,Dalil 5 Syarat Kerukunan 1
279,SMA 2,Hafalan Surat Al Qur'an,September - Oktober,Dalil 6 Thobiat Luhur 1
280,SMA 2,Hafalan Surat Al Qur'an,November - Desember,Dalil Wajibnya Berjama’ah 3
281,SMA 2,Materi Dasar Keagamaan,Juli,Dasar Aqidah
282,SMA 2,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi"
283,SMA 2,Materi Dasar Keagamaan,Mei,Hukum Mahram
284,SMA 2,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil"
285,SMA 2,Tulis Huruf Arab,Januari,Juz 11
286,SMA 2,Tulis Huruf Arab,Februari - Maret,Juz 12
287,SMA 2,Tulis Huruf Arab,April,Juz12
288,SMA 2,Tulis Huruf Arab,November - Desember,K. Ahkam
289,SMA 2,Tulis Huruf Arab,Mei - Juni,K. Jihad
290,SMA 2,Materi Dasar Keagamaan,April,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa
291,SMA 2,Akhlaq,September - Oktober,Keluarga
292,SMA 2,Mandiri,September,Kemandirian dalam keluarga
293,SMA 2,Mandiri,Maret,Kemandirian dalam keluarga
294,SMA 2,Mandiri,Juli,Kemandirian pribadi
295,SMA 2,Mandiri,Januari,Kemandirian pribadi
296,SMA 2,Materi Dasar Keagamaan,September,Kemurnian ibadah
297,SMA 2,Mandiri,Oktober,Keterampilan Generus Putra
298,SMA 2,Mandiri,April,Keterampilan Generus Putra
299,SMA 2,Mandiri,November - Desember,Keterampilan Generus Putri
300,SMA 2,Mandiri,Mei - Juni,Keterampilan Generus Putri
301,SMA 2,Adab/ Tatakrama,Februari,Ketika Bersin
302,SMA 2,Adab/ Tatakrama,Oktober,Ketika Di Masjid
303,SMA 2,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
304,SMA 2,Adab/ Tatakrama,Februari,Ketika Menguap
305,SMA 2,Akhlaq,April - Juni,Lingkungan dan alam sekitar
306,SMA 2,Tulis Huruf Arab,Juli,Makna Juz 10
307,SMA 2,Tulis Huruf Arab,September - Oktober,Makna Juz 11
308,SMA 2,Tulis Huruf Arab,Agustus,Makna Juz10
